harness=ranked  board /tmp/yukon-board/full.json  167 receipts since 2026-08-21T00:00

createdAt            receipt   solver         published  candidate     serial       F76
2026-08-21T00:03:20  640f60b1  ivanfioravanti  3.294022   0.015433   0.038056  -12.4604
2026-08-21T00:15:34  807eb5ac  hadakang        3.258550   0.015479   0.037924  -13.2019
2026-08-21T00:23:40  f1e03d66  kaarelkaarelso  3.247639   0.015611   0.038025  -12.2522
2026-08-21T00:32:16  1a4218f5  vibecodooor     3.313484   0.015363   0.038038  -13.0984
2026-08-21T00:43:51  83f0b282  morganmcg1      3.313784   0.015360   0.037916  -13.1458
2026-08-21T00:54:19  a0b2098d  hadakang        3.270300   0.015565   0.037956  -11.9136
2026-08-21T01:05:52  396a16f9  kaarelkaarelso  3.301464   0.015410   0.037999  -13.3934
2026-08-21T01:14:56  3f98b9aa  fkiene          3.308955   0.015367   0.037936  -13.0800
2026-08-21T01:39:37  05b6322f  newjordan       3.234141   0.015606   0.038003  -12.5807
2026-08-21T01:46:42  e38ea969  hadakang        3.294350   0.015442   0.038072  -12.2459
2026-08-21T01:47:54  fc7378dd  Lieisyourlie    3.301979   0.015383   0.038011  -13.0071
2026-08-21T01:48:52  55af6534  morganmcg1      3.283028   0.015548   0.038010  -12.1384
2026-08-21T01:54:24  214d92aa  vibecodooor     3.325290   0.015373   0.038061  -13.1377
2026-08-21T01:57:25  a4abaf0e  Amal-David      3.308184   0.015379   0.037971  -13.0197
2026-08-21T02:00:47  a3b15b54  kaarelkaarelso  3.249571   0.015597   0.038014  -12.1237
2026-08-21T02:31:06  8819b108  audreyt         3.327950   0.015367   0.038071  -13.1427
2026-08-21T02:35:03  a308911e  hadakang        3.280649   0.015444   0.037948  -12.2372
2026-08-21T02:46:23  e258d315  Lieisyourlie    3.274324   0.015579   0.038045  -11.8046
2026-08-21T03:16:41  d73184c4  Amal-David      3.309353   0.015371   0.037946  -13.0627
2026-08-21T03:35:49  fb03be75  kaarelkaarelso  3.085262   0.014818   0.038030   12.8697
2026-08-21T03:48:30  a3d79512  hadakang        3.249966   0.015554   0.037976  -11.4216
2026-08-21T03:50:52  08760612  newjordan       3.312220   0.015346   0.037957  -13.0826
2026-08-21T03:54:45  70aa42aa  audreyt         3.322787   0.015361   0.038031  -13.2403
2026-08-21T04:11:57  ad729ec8  Lieisyourlie    3.275619   0.015545   0.038102  -11.9155
2026-08-21T04:14:33  87e6421b  morganmcg1      3.306522   0.015361   0.037904  -13.1340
2026-08-21T04:25:16  32b51cca  jonathan308     3.315806   0.015364   0.038114  -13.0605
2026-08-21T04:39:59  8f86f949  scarletbright   3.239674   0.015593   0.038040  -11.8987
2026-08-21T04:46:58  561e815d  hadakang        3.280981   0.015424   0.037927  -12.2749
2026-08-21T05:00:51  62cd1be0  newjordan       3.306552   0.015382   0.037996  -12.4872
2026-08-21T05:19:59  570a341d  Lieisyourlie    3.268765   0.015553   0.038006  -12.1489
2026-08-21T05:25:00  b28b0993  ivanfioravanti  3.306790   0.015413   0.037978  -12.4496
2026-08-21T05:40:12  7fbb504f  jonathan308     3.318275   0.015352   0.038036  -13.1325
2026-08-21T06:10:21  f32c47d9  hadakang        3.282848   0.015543   0.038035  -11.7024
2026-08-21T06:26:12  cb8aeefb  morganmcg1      3.323458   0.015304   0.037927  -13.2300
2026-08-21T06:30:39  6abd4c6f  Lieisyourlie    3.283959   0.015464   0.038056  -11.1616
2026-08-21T06:35:00  a3dfe471  Inah-choi       3.281264   0.015540   0.037969  -11.9715
2026-08-21T07:12:05  4cb3c9b7  vibecodooor     3.325528   0.015345   0.038055  -13.1068
2026-08-21T07:26:02  8bea1495  Lieisyourlie    3.305933   0.015364   0.037961  -13.0511
2026-08-21T07:26:59  cc0cb6e7  ivanfioravanti  3.259067   0.015599   0.038103  -11.5164
2026-08-21T07:33:51  a321a008  audreyt         3.324665   0.015363   0.038061  -13.0742
2026-08-21T07:44:24  87fba448  newjordan       3.274969   0.015449   0.037967  -13.2288
2026-08-21T07:45:22  82a75001  Inah-choi       3.290547   0.015534   0.038035  -12.0259
2026-08-21T08:07:02  5d047f62  Lieisyourlie    3.318308   0.015367   0.037996  -13.0853
2026-08-21T08:11:35  3a36f63b  francip         3.307842   0.015361   0.037924  -13.1263
2026-08-21T08:16:17  84b9ef7b  morganmcg1      3.301422   0.015449   0.038013  -12.1983
2026-08-21T08:30:34  a5f60760  nijaru          3.324083   0.015370   0.038057  -13.0533
2026-08-21T08:32:20  59bfe4b9  vibecodooor     3.314196   0.015348   0.037932  -13.1045
2026-08-21T08:52:30  19bab135  ivanfioravanti  3.269844   0.015604   0.038022  -11.3434
2026-08-21T09:07:36  9135aa55  Lieisyourlie    3.324432   0.015359   0.038006  -13.1019
2026-08-21T09:24:16  181a9e7d  audreyt         3.315660   0.015366   0.037930  -13.0107
2026-08-21T09:34:55  ef9de331  DawgZter        3.286653   0.015518   0.037995  -12.2148
2026-08-21T09:44:09  0c2807a4  newjordan       3.327740   0.015359   0.038038  -13.1079
2026-08-21T10:17:01  f04b102e  morganmcg1      3.328246   0.015288   0.037936  -13.2906
2026-08-21T10:27:47  c4bef23f  fkiene          3.283854   0.015513   0.038023  -11.7151
2026-08-21T10:37:21  bffd1e8c  audreyt         3.315870   0.015367   0.038062  -13.0969
2026-08-21T10:38:48  f0f16100  ivanfioravanti  3.316806   0.015366   0.037986  -13.0583
2026-08-21T10:53:21  3824d9b2  Lieisyourlie    3.263514   0.015551   0.037992  -12.0820
2026-08-21T11:22:52  276aa2c2  hadakang        3.338498   0.015292   0.038017  -13.3588
2026-08-21T11:25:37  71eddde4  newjordan       3.336958   0.015291   0.037975  -13.3100
2026-08-21T11:40:07  cacf12dd  jonathan308     3.319232   0.015418   0.038016  -12.2449
2026-08-21T11:41:47  51b9bf85  vibecodooor     3.350259   0.015288   0.038011  -13.3497
2026-08-21T11:43:51  e18433d4  audreyt         3.338131   0.015287   0.038018  -13.3409
2026-08-21T12:02:58  f372c980  fkiene          3.308681   0.015428   0.037986  -12.0810
2026-08-21T12:11:37  91623861  andreolf        3.336690   0.015290   0.037968  -13.3542
2026-08-21T12:24:43  9cb82a2f  ivanfioravanti  3.341613   0.015283   0.038042  -13.2630
2026-08-21T12:30:57  4a36ad31  newjordan       3.297405   0.015439   0.037990  -12.1689
2026-08-21T12:58:42  27057395  jonathan308     3.332701   0.015294   0.037899  -13.2992
2026-08-21T13:04:06  6ce628f0  audreyt         3.313605   0.015439   0.038020  -12.3272
2026-08-21T13:12:51  fe01af82  hadakang        3.345276   0.015275   0.038006  -13.2898
2026-08-21T13:40:55  4b9345f2  EternaPeptix    3.308914   0.015388   0.037950  -13.1154
2026-08-21T13:45:01  cc19da3d  Amal-David      3.338586   0.015276   0.037987  -13.3023
