leg	arm	worker_sha12	witness	entry_c	exit_c	matched	spt	decode_s	prefill_s	decode_only_spt	edl	accepted	rounds
1	B0	999b5b51429b	xsums=8,addr=4,anchor=372	37.9	55.404029846191406	true	0.031524224439635873	16.140402913093567	3.9192010164260864	0.023869534954428673	6.3766233766233764	435	77
2	B1	f8a07f6d832a	xsums=8,addr=4,anchor=372	38.8	55.89988708496094	true	0.031422775471583009	16.0884610414505	3.9139870405197144	0.02377826953306794	6.3766233766233764	435	77
3	B2	ddfa2f3d0aee	xsums=0,addr=0,anchor=362	38.4	55.848331451416016	true	0.031450230628252029	16.102518081665039	3.9074620008468628	0.023818468907848	6.3766233766233764	435	77
4	B3	df28b41ab921	xsums=4,addr=0,anchor=372	40.0	56.64667892456055	true	0.03141982015222311	16.086947917938232	3.9075659513473511	0.023787855403497815	6.3766233766233764	435	77
5	B3	df28b41ab921	xsums=4,addr=0,anchor=372	38.7	56.831993103027344	true	0.031413751887157559	16.08384096622467	3.9082100391387939	0.023780529154464602	6.3766233766233764	435	77
6	B2	ddfa2f3d0aee	xsums=0,addr=0,anchor=362	38.8	56.61762619018555	true	0.031461757840588689	16.108420014381409	3.9088789224624634	0.02382722869515419	6.3766233766233764	435	77
7	B1	f8a07f6d832a	xsums=8,addr=4,anchor=372	38.9	56.70720291137695	true	0.031401917804032564	16.077781915664673	3.9080380201339722	0.0237690310459584	6.3766233766233764	435	77
8	B0	999b5b51429b	xsums=8,addr=4,anchor=372	39.0	57.20026779174805	true	0.031504107406362891	16.1301029920578	3.9232579469680786	0.023841494228690863	6.3766233766233764	435	77
9	B0	999b5b51429b	xsums=8,addr=4,anchor=372	39.0	57.11323547363281	true	0.031461068196222186	16.108066916465759	3.9074829816818237	0.023829265497624874	6.3766233766233764	435	77
10	B1	f8a07f6d832a	xsums=8,addr=4,anchor=372	38.8	56.942073822021484	true	0.031478439457714558	16.116961002349854	3.9130059480667114	0.023835849715396762	6.3766233766233764	435	77
11	B2	ddfa2f3d0aee	xsums=0,addr=0,anchor=362	38.8	56.70022964477539	true	0.031414824305102229	16.084390044212341	3.9072600603103638	0.02378345699980855	6.3766233766233764	435	77
12	B3	df28b41ab921	xsums=4,addr=0,anchor=372	38.5	56.37382507324219	true	0.031446501845493913	16.100608944892883	3.9088850021362305	0.023811960825696588	6.3766233766233764	435	77
13	B3	df28b41ab921	xsums=4,addr=0,anchor=372	38.7	56.342403411865234	true	0.031421681633219123	16.087900996208191	3.9145139455795288	0.023776146583259106	6.3766233766233764	435	77
14	B2	ddfa2f3d0aee	xsums=0,addr=0,anchor=362	38.8	57.20832443237305	true	0.031317162094637752	16.034386992454529	3.9079350233078003	0.023684476502239704	6.3766233766233764	435	77
15	B1	f8a07f6d832a	xsums=8,addr=4,anchor=372	38.6	56.44432067871094	true	0.031486558727920055	16.121118068695068	3.9155570268630981	0.023838986409828067	6.3766233766233764	435	77
16	B0	999b5b51429b	xsums=8,addr=4,anchor=372	38.8	56.69183349609375	true	0.031447123037651181	16.100926995277405	3.9081270694732666	0.023814062355086207	6.3766233766233764	435	77
