device=Apple M4 Pro
name              maxThreads  execWidth  tgMemBytes
xctl_clean_na4_r4 1024        32         0
xctl_clean_na5_r4 1024        32         0
xctl_e27_spill_na61024        32         0
xctl_spill_na16_r41024        32         0
xctl_spill_na4_r4 1024        32         0
xctl_spill_na9_r2 1024        32         0
xrb_na10_r1       1024        32         0
xrb_na10_r2       1024        32         0
xrb_na10_r4       1024        32         0
xrb_na2_r1        1024        32         0
xrb_na2_r2        1024        32         0
xrb_na2_r4        1024        32         0
xrb_na3_r1        1024        32         0
xrb_na3_r2        1024        32         0
xrb_na3_r4        1024        32         0
xrb_na4_r1        1024        32         0
xrb_na4_r2        1024        32         0
xrb_na4_r4        1024        32         0
xrb_na5_r1        1024        32         0
xrb_na5_r2        1024        32         0
xrb_na5_r4        1024        32         0
xrb_na6_r1        1024        32         0
xrb_na6_r2        1024        32         0
xrb_na6_r4        1024        32         0
xrb_na7_r1        1024        32         0
xrb_na7_r2        1024        32         0
xrb_na7_r4        1024        32         0
xrb_na8_r1        1024        32         0
xrb_na8_r2        1024        32         0
xrb_na8_r4        1024        32         0
xrb_na9_r1        1024        32         0
xrb_na9_r2        1024        32         0
xrb_na9_r4        1024        32         0
xrps_na10_r1      1024        32         0
xrps_na10_r2      1024        32         0
xrps_na10_r3      1024        32         0
xrps_na10_r4      1024        32         0
xrps_na11_r1      1024        32         0
xrps_na11_r2      1024        32         0
xrps_na12_r1      1024        32         0
xrps_na12_r2      1024        32         0
xrps_na2_r1       1024        32         0
xrps_na2_r2       1024        32         0
xrps_na2_r3       1024        32         0
xrps_na2_r4       1024        32         0
xrps_na3_r1       1024        32         0
xrps_na3_r2       1024        32         0
xrps_na3_r3       1024        32         0
xrps_na3_r4       1024        32         0
xrps_na4_r1       1024        32         0
xrps_na4_r2       1024        32         0
xrps_na4_r3       1024        32         0
xrps_na4_r4       1024        32         0
xrps_na5_r1       1024        32         0
xrps_na5_r2       1024        32         0
xrps_na5_r3       1024        32         0
xrps_na5_r4       1024        32         0
xrps_na6_r1       1024        32         0
xrps_na6_r2       1024        32         0
xrps_na6_r3       1024        32         0
xrps_na6_r4       1024        32         0
xrps_na7_r1       1024        32         0
xrps_na7_r2       1024        32         0
xrps_na7_r3       1024        32         0
xrps_na7_r4       1024        32         0
xrps_na8_r1       1024        32         0
xrps_na8_r2       1024        32         0
xrps_na8_r3       1024        32         0
xrps_na8_r4       1024        32         0
xrps_na9_r1       1024        32         0
xrps_na9_r2       1024        32         0
xrps_na9_r3       1024        32         0
xrps_na9_r4       1024        32         0
xship_na2         1024        32         0
xship_na3         1024        32         0
xship_na4         1024        32         0
xship_na5         1024        32         0
