OK binary: 1 vendored section(s), 0 normalized toolchain section(s)
OK binary_ops: 1 vendored section(s), 0 normalized toolchain section(s)
OK copy: 1 vendored section(s), 0 normalized toolchain section(s)
OK fp_quantized: 3 vendored section(s), 0 normalized toolchain section(s)
OK fp_quantized_nax: 3 vendored section(s), 0 normalized toolchain section(s)
OK gather_axis: 1 vendored section(s), 0 normalized toolchain section(s)
OK gather_front: 2 vendored section(s), 0 normalized toolchain section(s)
OK gemm: 9 vendored section(s), 0 normalized toolchain section(s)
OK gemm_nax: 8 vendored section(s), 1 normalized toolchain section(s)
OK gemv: 8 vendored section(s), 0 normalized toolchain section(s)
WAIVED quantized: comment-only divergence in mlx/backend/metal/kernels/quantized.h (3087 checked-in vs 3097 regenerated line(s), 3005 non-comment line(s) identical)
OK quantized: 1 vendored section(s), 0 normalized toolchain section(s), 1 allowlisted waiver(s)
OK quantized_nax: 1 vendored section(s), 0 normalized toolchain section(s)
OK quantized_utils: 1 vendored section(s), 0 normalized toolchain section(s)
OK reduce: 5 vendored section(s), 0 normalized toolchain section(s)
OK reduce_utils: 3 vendored section(s), 0 normalized toolchain section(s)
OK softmax: 1 vendored section(s), 0 normalized toolchain section(s)
OK sort: 1 vendored section(s), 0 normalized toolchain section(s)
OK steel_attention: 11 vendored section(s), 0 normalized toolchain section(s)
OK steel_attention_nax: 8 vendored section(s), 1 normalized toolchain section(s)
OK steel_gemm_fused: 1 vendored section(s), 0 normalized toolchain section(s)
OK steel_gemm_fused_nax: 1 vendored section(s), 0 normalized toolchain section(s)
OK steel_gemm_gather: 1 vendored section(s), 0 normalized toolchain section(s)
OK steel_gemm_gather_nax: 1 vendored section(s), 0 normalized toolchain section(s)
OK steel_gemm_splitk: 1 vendored section(s), 0 normalized toolchain section(s)
OK steel_gemm_splitk_nax: 1 vendored section(s), 0 normalized toolchain section(s)
OK ternary: 1 vendored section(s), 0 normalized toolchain section(s)
OK ternary_ops: 1 vendored section(s), 0 normalized toolchain section(s)
OK unary: 1 vendored section(s), 0 normalized toolchain section(s)
OK unary_ops: 5 vendored section(s), 0 normalized toolchain section(s)
TWIN AUDIT OK: 29 runtime-effective twin(s), 1 allowlisted comment-only waiver(s) (non-comment lines byte-identical, both comment streams sha256-pinned)
